filename1,synth u net,filename2,synth light u net,filename3,real u net,filename4,real light u net
031_,0.030100958741029044,031_,0.028045623633844084,031_,0.02510704880943278,031_,0.019309244805493384
032_,0.04923322391845525,032_,0.025744930475182854,032_,0.026368678869348874,032_,0.01278311366402893
-,0.0,-,0.0,033_,0.039708427229529754,033_,0.012995768046218643
-,0.0,-,0.0,034_,0.024533776882643688,034_,0.011799607604089222
-,0.0,-,0.0,035_,0.028022252682126166,035_,0.014880185198865647
-,0.0,-,0.0,036_,0.030046276681396922,036_,0.004596079986624832
-,0.0,-,0.0,037_,0.03791650500827236,037_,0.013228840114449287
-,0.0,-,0.0,038_,0.028399594617732674,038_,0.015206396412781816
-,0.0,-,0.0,039_,0.03527290960196918,039_,0.010471191750941902
-,0.0,-,0.0,040_,0.028277118117522638,040_,0.015591528825953016
-,0.0,-,0.0,041_,0.03249855912788365,041_,0.01437136007820039
-,0.0,-,0.0,042_,0.033684113250591036,042_,0.007366025346868062
-,0.0,-,0.0,043_,0.0361534266657508,043_,0.012857014975495419
-,0.0,-,0.0,044_,0.030889491681632374,044_,0.010798419420147228
-,0.0,-,0.0,045_,0.034378488032693715,045_,0.01651842929311912
-,0.0,-,0.0,046_,0.0374710998988942,046_,0.009705969035215086
-,0.0,-,0.0,047_,0.03290527777453767,047_,0.010960461544155272
-,0.0,-,0.0,048_,0.04575768303411289,048_,0.014489046839158548
-,0.0,-,0.0,049_,0.0270804058661236,049_,0.012892717073257138
-,0.0,-,0.0,050_,0.035617106957147475,050_,0.018327874118456367
-,0.0,-,0.0,051_,0.03376554236903229,051_,0.01599705346798938
-,0.0,-,0.0,052_,0.03436426107732038,052_,0.015934389608841092
-,0.0,-,0.0,053_,0.03003826475318794,053_,0.01648260293646031
-,0.0,-,0.0,054_,0.035567923189545936,054_,0.014588887676368132
-,0.0,-,0.0,055_,0.039181989104305724,055_,0.009906943265404807
-,0.0,-,0.0,056_,0.0368971881902782,056_,0.0133685338737547
-,0.0,-,0.0,057_,0.03005388608151452,057_,0.018471108222374
-,0.0,-,0.0,058_,0.037928401104171526,058_,0.015102978400281906
-,0.0,-,0.0,059_,0.025142898831847137,059_,0.013002669786387543
-,0.0,-,0.0,060_,0.029910632729909844,060_,0.01744943875409316
-,0.0,-,0.0,061_,0.03505825625114214,061_,0.014951639150941696
-,0.0,-,0.0,062_,0.04230364605568582,062_,0.014228912641047342
-,0.0,-,0.0,063_,0.03278616713691448,063_,0.010356201483509068
-,0.0,-,0.0,064_,0.039454642210612546,064_,0.015995120159799293
-,0.0,-,0.0,065_,0.0375768568149787,065_,0.01899497009235463
-,0.0,-,0.0,066_,0.03811388544213303,066_,0.01012577916195231
-,0.0,-,0.0,067_,0.022966801466718107,067_,0.009134885999287752
-,0.0,-,0.0,068_,0.040949233247664855,068_,0.012013252995912712
-,0.0,-,0.0,069_,0.032071078312568564,069_,0.019072899780839033
-,0.0,-,0.0,070_,0.034245417384350794,070_,0.014716346438781888
-,0.0,-,0.0,071_,0.04123146313382471,071_,0.014222999502751285
-,0.0,-,0.0,072_,0.0414381648829507,072_,0.01432270431586828
-,0.0,-,0.0,073_,0.0359941523291847,073_,0.011082413768821254
-,0.0,-,0.0,074_,0.034004976245681474,074_,0.013406912387886832
-,0.0,-,0.0,075_,0.035206178069762,075_,0.010911245660594126
-,0.0,-,0.0,076_,0.03608346891245097,076_,0.015369472528988537
-,0.0,-,0.0,077_,0.046010100251850074,077_,0.014595843208105282
-,0.0,-,0.0,078_,0.03760070191415555,078_,0.014287538604457728
-,0.0,-,0.0,079_,0.029002790134113148,079_,0.018309598184732576
-,0.0,-,0.0,080_,0.026106245674274584,080_,0.01762758033994071
